character,vid credit,count credit,vid link,count link
keqing,Kolibri#7675,Kolibri#7675,https://youtu.be/kI6N3Mn5BQY,https://docs.google.com/spreadsheets/d/1GAeBzMr0XX89azZhpbjEqPfehgruwI3__GlfEgQ1VvA/edit?usp=sharing
keqing,Kolibri#7675,Kolibri#7675,https://youtu.be/9xe2nygCtKE,https://docs.google.com/spreadsheets/d/1GAeBzMr0XX89azZhpbjEqPfehgruwI3__GlfEgQ1VvA/edit?usp=sharing
klee,Kolibri#7675,Kolibri#7675,https://youtu.be/jDQDx1hhzkc,https://docs.google.com/spreadsheets/d/1cRHRn2iR8knyzcioUGGoMFNZgaNJQdlpkUqjeIPowCM/edit?usp=sharing
kuki,Kolibri#7675,Kolibri#7675,https://youtu.be/kbdvX4Oy-u0,https://docs.google.com/spreadsheets/d/1cXejpod69F6HReq6jztxEvlpVzSGKssz5NNHIzqY4QY/edit?usp=sharing
lisa,Kolibri#7675,Kolibri#7675,https://youtu.be/WiQ20bQejuw,https://docs.google.com/spreadsheets/d/1KRt6I_c5qeUQVXcHv7ZOZKdqjn4Z_VN1OyVFvhDumOc/edit?usp=sharing
mona,Kolibri#7675,Kolibri#7675,https://youtu.be/KfjCdGrh5Dk,https://docs.google.com/spreadsheets/d/1fCdmkNZ6vXmqiOmk6s0Q8AQFzOQt_UjltspbMyDrx4A/edit?usp=sharing
mona,Kolibri#7675,Kolibri#7675,https://youtu.be/mRSPMhmpKX0,https://docs.google.com/spreadsheets/d/1fCdmkNZ6vXmqiOmk6s0Q8AQFzOQt_UjltspbMyDrx4A/edit?usp=sharing
qiqi,Kolibri#7675,Kolibri#7675,https://youtu.be/56yh-6WqN-I,https://docs.google.com/spreadsheets/d/1uS_n16mlfdfzjBiVG3w6TmR9H7YqSSFOoyox_9bn-Kk/edit?usp=sharing
qiqi,Kolibri#7675,Kolibri#7675,https://youtu.be/KRWBSbMakKc,https://docs.google.com/spreadsheets/d/1uS_n16mlfdfzjBiVG3w6TmR9H7YqSSFOoyox_9bn-Kk/edit?usp=sharing
raiden,Kolibri#7675,Kurt#5846,https://youtu.be/70hVIt1_92Y,https://docs.google.com/spreadsheets/d/1ayeS2Yp32dbdVR-xqSyIeSk7CUDuIFSO6A8XrRCRNgY/edit?usp=sharing
razor,Kolibri#7675,Kolibri#7675,https://youtu.be/CUXnqF1S2ps,https://docs.google.com/spreadsheets/d/1Rceie6ATwNDSbnmIIKgZa1cVtXlBZE6earpJb42SHAM/edit?usp=sharing
rosaria,Kolibri#7675,Kurt#5846,https://youtu.be/_FVJTwjKW4A,https://docs.google.com/spreadsheets/d/1buBVBvlgfNcRA09XA3BLm-oA7hpCVRYkGt_7kPBYJu0/edit?usp=sharing
sayu,Kolibri#7675,Kolibri#7675,https://youtu.be/w7YDOFDuVC0,https://docs.google.com/spreadsheets/d/1vLH6ZiAhb7G-f5ecYy-sPLoCdouA5krMixtgh9ITX2Q/edit?usp=sharing
shenhe,Kolibri#7675 (special thanks to Xreejan#1180),,https://youtu.be/27cpC8A_elw,
sucrose,Kolibri#7675,Kurt#5846,https://youtu.be/qFTyVL1cA4w,https://docs.google.com/spreadsheets/d/1qHFGd5xt2MNBCIw7WK78lwv2Az98vLz8CRILU8piugo/edit?usp=sharing
sucrose,Kolibri#7675,Kurt#5846,https://youtu.be/Rd7GqdlsPz0,https://docs.google.com/spreadsheets/d/1qHFGd5xt2MNBCIw7WK78lwv2Az98vLz8CRILU8piugo/edit?usp=sharing
tartaglia,Kolibri#7675,Kurt#5846,https://youtu.be/FSE7NhQSbHE,https://docs.google.com/spreadsheets/d/1iBcJqVG3uWhwyHwCbYQby0mdaLZJ_ZhJCo0I4djnsU8/edit?usp=sharing
tartaglia,Kolibri#7675,Kurt#5846,https://youtu.be/rpVDDq-F5ZM,https://docs.google.com/spreadsheets/d/1iBcJqVG3uWhwyHwCbYQby0mdaLZJ_ZhJCo0I4djnsU8/edit?usp=sharing
venti,Kolibri#7675,Kurt#5846,https://youtu.be/6SNc67MnDz8,https://docs.google.com/spreadsheets/d/1wjNpI530VwWX8PtmAA7ZZex5FurVpItfu6jmRQsMcaw/edit?usp=sharing
xiangling,Kolibri#7675,Kurt#5846,https://youtu.be/ibZji4bP7Gs,https://docs.google.com/spreadsheets/d/1tWMpn1M34w0rCutUQ5cem28fIVoFVp7YjOXtIm2Rvow/edit?usp=sharing
xiangling,Kolibri#7675,Kurt#5846,https://youtu.be/5sqz-tgKuJM,https://docs.google.com/spreadsheets/d/1tWMpn1M34w0rCutUQ5cem28fIVoFVp7YjOXtIm2Rvow/edit?usp=sharing
xiao,Kolibri#7675,Kolibri#7675,https://youtu.be/oadNODbooZQ,https://docs.google.com/spreadsheets/d/1WHJy9UjCQY0AO32yluJMhX_ecGO1KGb6SjbOZt9VJDg/edit?usp=sharing
xiao,Kolibri#7675,Kolibri#7675,https://youtu.be/f3C-cbZhh6A,https://docs.google.com/spreadsheets/d/1WHJy9UjCQY0AO32yluJMhX_ecGO1KGb6SjbOZt9VJDg/edit?usp=sharing
xingqiu,Kolibri#7675,Kurt#5846,https://youtu.be/SqKyJcmZvHY,https://docs.google.com/spreadsheets/d/1eJDOj2mI3tFSM7ii6hn3E9GLtS6ah5GwCISDyb2i304/edit?usp=sharing
xingqiu,Kolibri#7675,Kurt#5846,https://youtu.be/ITqJoQawsYc,https://docs.google.com/spreadsheets/d/1eJDOj2mI3tFSM7ii6hn3E9GLtS6ah5GwCISDyb2i304/edit?usp=sharing
yelan,Kolibri#7675,Kolibri#7675,https://youtu.be/4WpZhbvEktU,https://docs.google.com/spreadsheets/d/1k4f8EkgneV_588EpJlDavx_0zyFi5ZiWd0HdUV6wx38/edit?usp=sharing
yoimiya,Kolibri#7675,Kurt#5846,https://youtu.be/UNo3Q-DPmbM,https://docs.google.com/spreadsheets/d/1DYYiGSNeFekVt3eQQC_MujkLCd_8rgPIIlpPNvwHKTA/edit?usp=sharing
yunjin,Kolibri#7675,Kolibri#7675,https://youtu.be/dIlxs5zi1e0,https://docs.google.com/spreadsheets/d/1rDQZ8TJd6JAzD3C6pg_JZrgkYr-LIp36mmXE8XVMj4s/edit?usp=sharing
yunjin,Kolibri#7675,Kolibri#7675,https://youtu.be/vs4M7_vMbKY,https://docs.google.com/spreadsheets/d/1rDQZ8TJd6JAzD3C6pg_JZrgkYr-LIp36mmXE8XVMj4s/edit?usp=sharing
zhongli,Kolibri#7675,Kurt#5846,https://youtu.be/2TMxz446akc,https://docs.google.com/spreadsheets/d/1NPOothWseChb-OzOHQqunBdi-M3udmQPqPop0kf7H-w/edit?usp=sharing
zhongli,Kolibri#7675,Kolibri#767,https://youtu.be/diz7tQf8-yY,https://docs.google.com/spreadsheets/d/19dQSj8Y8LJ_2kLgWKPlkNp9y7sqvFiquO5h03R2YNXI/edit?usp=sharing
thoma,Kolibri#7675,Kolibri#7675,https://youtu.be/wnOvlhq8us4,https://docs.google.com/spreadsheets/d/1QtllZ_QKQIJNGnD4FILZCB307aA8YtDfpG6pcYndl5E/edit?usp=sharing
xinyan,Kolibri#7675,Kolibri#7675,https://youtu.be/PT7BQuZAVTE,https://docs.google.com/spreadsheets/d/1Wz7gtnavp5pzNjSFidi0EFluZ4E8CoaogvzOXSEF3-E/edit?usp=sharing
